,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Labuhan,100,ID,1563387556,90,-2.54,115.51,295.364,0.49
1,Havelock,1,US,1563387475,56,34.88,-76.9,308.15,4.1
2,Hobart,75,AU,1563387285,65,-42.88,147.33,281.15,5.1
3,Gatton,0,AU,1563387558,92,-27.56,152.28,285.37,1.0
4,Carnarvon,1,ZA,1563387090,12,-30.97,22.13,285.064,3.31
5,Jamestown,27,AU,1563387293,94,-33.21,138.6,279.364,1.97
6,Kadaya,27,RU,1563387559,75,50.93,119.29,289.164,2.47
7,Butaritari,96,KI,1563387560,69,3.07,172.79,301.564,2.5
8,Puerto Ayora,40,EC,1563387560,69,-0.74,-90.35,298.15,8.7
9,Ornskoldsvik,0,SE,1563387365,63,63.29,18.72,290.15,1.0
10,Leningradskiy,97,RU,1563387562,88,69.38,178.42,274.664,1.87
11,Omboue,69,GA,1563387562,88,-1.57,9.26,297.764,6.45
12,Rikitea,20,PF,1563387563,73,-23.12,-134.97,295.464,9.11
13,Barrow,96,AR,1563387563,60,-38.31,-60.23,288.264,9.63
14,Gat,20,SN,1563387564,58,14.69,-16.54,309.15,5.1
15,Tuatapere,98,NZ,1563387043,73,-46.13,167.69,282.064,10.8
16,Adrar,58,DZ,1563387566,5,27.87,-0.29,320.15,4.1
17,Malanje,0,AO,1563387566,27,-9.54,16.35,295.364,1.13
18,Saint-Philippe,75,CA,1563387567,88,45.36,-73.48,302.04,1.5
19,Sumenep,27,ID,1563387567,91,-7.02,113.87,295.364,3.39
20,Vaini,100,IN,1563387568,88,15.34,74.49,298.664,1.44
21,Pisco,40,PE,1563386763,30,-13.71,-76.2,295.15,4.6
22,Albany,75,US,1563387302,66,42.65,-73.75,304.26,4.1
23,Ushuaia,0,AR,1563387389,41,-54.81,-68.31,279.15,4.1
24,Rawson,100,AR,1563387108,51,-43.3,-65.11,288.964,14.04
25,Egvekinot,97,RU,1563387570,51,66.32,-179.17,285.864,2.46
26,Lufilufi,34,WS,1563387570,94,-13.87,-171.6,298.15,1.79
27,Atuona,67,PF,1563387571,73,-9.8,-139.03,299.764,7.58
28,Grand Forks,75,US,1563387571,78,47.91,-97.06,299.15,3.6
29,Bethel,90,US,1563387572,93,60.79,-161.76,286.15,6.2
30,Passo de Camaragibe,40,BR,1563387572,54,-9.24,-35.49,300.15,4.1
31,Bathsheba,40,BB,1563387491,66,13.22,-59.52,304.15,7.2
32,Hilo,90,US,1563387574,88,19.71,-155.08,298.15,1.5
33,Mataura,92,NZ,1563387574,88,-46.19,168.86,277.264,3.58
34,Portland,75,US,1563387574,78,43.66,-70.25,302.59,2.6
35,Touros,40,BR,1563387575,66,-5.2,-35.46,302.15,4.6
36,Camabatela,73,AO,1563387575,32,-8.19,15.37,299.564,0.31
37,Hambantota,100,LK,1563387153,77,6.12,81.12,301.164,10.5
38,San Roque,20,CO,1563387576,46,6.49,-75.02,301.15,5.1
39,Pringsewu,99,ID,1563387151,94,-5.36,104.98,293.664,0.82
40,Araouane,53,ML,1563387577,15,18.9,-3.53,314.764,3.2
41,Am Timan,39,TD,1563387577,56,11.04,20.28,302.364,1.32
42,Rezekne,84,LV,1563387579,88,56.5,27.32,287.964,2.77
43,Husavik,100,CA,1563387579,61,50.56,-96.99,295.93,2.24
44,Punta Arenas,75,CL,1563387580,69,-53.16,-70.91,276.15,4.6
45,Komsomolskiy,96,RU,1563387580,96,67.55,63.78,286.464,7.73
46,Mezen,32,RU,1563387581,72,65.85,44.24,285.464,3.03
47,Sinnamary,0,GF,1563387581,75,5.38,-52.96,301.164,4.94
48,Matara,20,BI,1563387582,57,-3.48,29.48,299.15,7.2
49,Kaitangata,79,NZ,1563387077,74,-46.28,169.85,275.37,1.34
50,Dikson,14,RU,1563387583,63,73.51,80.55,279.764,6.32
51,Saldanha,3,PT,1563387583,40,41.42,-6.55,302.064,8.17
52,Fort Nelson,20,CA,1563387584,63,58.81,-122.69,292.15,2.46
53,Quelimane,0,MZ,1563387584,73,-17.88,36.89,295.15,2.1
54,Bredasdorp,50,ZA,1563387585,59,-34.53,20.04,291.15,3.1
55,Pattani,100,TH,1563387585,76,6.87,101.25,301.464,5.38
56,Barabai,99,ID,1563387466,91,-2.59,115.38,295.964,1.21
57,Mahebourg,40,MU,1563387586,68,-20.41,57.7,295.15,8.2
58,Georgetown,75,GY,1563387587,74,6.8,-58.16,304.15,3.1
59,Vangaindrano,1,MG,1563387587,90,-23.35,47.6,290.064,0.55
60,Lorengau,1,PG,1563387588,83,-2.02,147.27,298.964,2.48
61,Grindavik,75,IS,1563387589,72,63.84,-22.43,290.15,7.7
62,Mayor Pablo Lagerenza,55,PY,1563387589,37,-19.93,-60.77,302.864,1.42
63,Codrington,0,AU,1563387590,70,-28.95,153.24,286.48,2.1
64,Solnechnyy,10,RU,1563387590,93,50.72,136.64,289.364,0.32
65,Qaanaaq,0,GL,1563387307,44,77.48,-69.36,280.764,1.02
66,Pauini,81,BR,1563387591,40,-7.71,-67.0,306.864,1.64
67,Victoria,75,BN,1563387302,94,5.28,115.24,300.15,2.6
68,Bonavista,100,CA,1563387592,81,48.65,-53.11,287.59,1.34
69,Russell,1,US,1563387593,33,38.9,-98.86,313.71,10.3
70,Goderich,35,CA,1563387594,98,43.74,-81.71,304.26,3.58
71,Troitsko-Pechorsk,100,RU,1563387594,63,62.71,56.19,287.064,4.42
72,Penzance,75,GB,1563387595,82,50.12,-5.53,292.15,6.2
73,Tornio,0,FI,1563387595,68,61.12,27.27,292.15,2.1
74,Hithadhoo,97,MV,1563387331,66,-0.6,73.08,301.864,5.58
75,Tiznit,0,MA,1563387596,84,29.7,-9.73,293.064,7.56
76,Kapaa,40,US,1563387596,69,22.08,-159.32,301.15,6.2
77,Torbay,75,CA,1563387525,72,47.66,-52.73,295.37,3.1
78,Cam Ranh,40,VN,1563387597,74,11.92,109.15,302.15,0.5
79,Bambous Virieux,40,MU,1563387001,64,-20.34,57.76,295.15,7.7
80,Yeppoon,0,AU,1563387598,81,-23.13,150.74,279.15,1.76
81,Mayo,40,CA,1563387599,52,63.59,-135.9,291.15,1.0
82,Yuba City,1,US,1563387599,42,39.14,-121.62,302.04,2.1
83,Ponta Delgada,20,PT,1563387600,68,37.73,-25.67,295.15,4.6
84,Arraial do Cabo,40,BR,1563387312,68,-22.97,-42.02,294.15,4.6
85,Busselton,34,AU,1563387601,78,-33.64,115.35,287.04,7.03
86,Mar del Plata,100,AR,1563387412,96,-46.43,-67.52,277.964,3.77
87,Rondonopolis,49,BR,1563387602,24,-16.46,-54.64,309.364,0.35
88,Kailua,20,US,1563387529,65,21.39,-157.74,301.48,7.2
89,Ilulissat,75,GL,1563387604,93,69.22,-51.1,280.15,3.6
90,East London,0,ZA,1563387311,55,-33.02,27.91,291.15,3.6
91,Anage,40,BR,1563387605,53,-14.61,-41.14,295.15,7.2
92,Turek,32,PL,1563387605,60,52.02,18.5,293.15,2.61
93,Sao Filipe,100,CV,1563387606,72,14.9,-24.5,296.164,1.53
94,Port Alfred,99,ZA,1563387606,86,-33.59,26.89,288.15,1.34
95,Cidreira,0,BR,1563387607,64,-30.17,-50.22,290.864,5.45
96,Castro,40,CL,1563387607,76,-42.48,-73.76,283.15,6.2
97,Yashan,82,CN,1563387608,94,30.81,118.02,297.664,1.17
98,Port Blair,99,IN,1563387091,80,11.67,92.75,302.164,9.52
99,Ahipara,75,NZ,1563387017,69,-35.17,173.16,287.464,5.2
100,Cape Town,75,ZA,1563387517,77,-33.93,18.42,288.71,9.3
101,Vitim,0,RU,1563387610,55,59.44,112.57,289.264,2.29
102,Kavieng,100,PG,1563387132,75,-2.57,150.8,300.664,3.87
103,Severo-Kurilsk,90,RU,1563387611,96,50.68,156.12,279.864,4.71
104,Clyde River,90,CA,1563387612,93,70.47,-68.59,277.15,9.3
105,Jalu,0,LY,1563387613,36,29.03,21.55,303.064,9.46
106,San Quintin,100,PH,1563387613,90,17.54,120.52,296.864,2.98
107,Jeremie,100,HT,1563387614,74,18.65,-74.12,302.064,3.88
108,Amapa,40,HN,1563387028,55,15.09,-87.97,306.15,4.1
109,Hovd,0,NO,1563387154,48,63.83,10.7,292.04,2.1
110,Rovinj,0,HR,1563387615,47,45.08,13.64,300.15,1.0
111,Morlaix,75,FR,1563387615,68,48.58,-3.83,292.15,4.6
112,Pervomayskiy,63,RU,1563387616,93,53.24,40.29,288.164,1.95
113,Tokonou,79,GN,1563387617,92,9.65,-9.78,297.564,1.96
114,Saint-Pierre,0,FR,1563387066,29,48.95,4.24,300.37,2.1
115,Yumen,71,CN,1563387025,62,40.29,97.04,291.864,4.28
116,Palmer,75,AU,1563387422,93,-34.85,139.16,285.15,4.6
117,Hermanus,60,ZA,1563387619,73,-34.42,19.24,289.82,0.45
118,Nishihara,90,JP,1563387619,83,35.74,139.53,297.15,1.5
119,Comodoro Rivadavia,75,AR,1563387620,87,-45.87,-67.48,280.15,1.02
120,Nikolskoye,75,RU,1563387620,77,59.7,30.79,291.15,3.0
121,Chokurdakh,82,RU,1563387031,80,70.62,147.9,275.564,3.43
122,Fujin,0,CN,1563387621,94,47.24,132.03,290.564,2.97
123,New Norfolk,75,AU,1563387622,65,-42.78,147.06,281.15,5.1
124,Yellowknife,40,CA,1563387625,53,62.45,-114.38,297.04,2.6
125,Pevek,99,RU,1563387626,93,69.7,170.27,273.764,2.86
126,Saint Anthony,1,US,1563387626,46,43.97,-111.68,297.04,3.6
127,Lebu,75,ET,1563387627,77,8.96,38.73,288.15,2.1
128,Dunedin,99,NZ,1563387627,56,-45.87,170.5,279.26,5.48
129,Gavrilov-Yam,75,RU,1563387628,93,57.3,39.85,290.15,4.0
130,Fortuna,40,US,1563387479,68,40.6,-124.16,298.71,4.1
131,Thompson,75,CA,1563387619,53,55.74,-97.86,295.15,3.6
132,Yulara,0,AU,1563387630,58,-25.24,130.99,279.15,2.6
133,Rome,0,IT,1563387611,54,41.89,12.48,302.04,2.6
134,Marsh Harbour,7,BS,1563387037,73,26.54,-77.06,302.264,5.24
135,Vanavara,0,RU,1563387127,68,60.35,102.28,289.964,2.27
136,Senhor do Bonfim,17,BR,1563387631,26,-10.46,-40.19,301.264,5.49
137,Pangnirtung,75,CA,1563387632,81,66.15,-65.72,284.15,6.2
138,Mathathane,0,BW,1563387632,53,-22.27,28.75,286.664,1.91
139,Tanout,15,NE,1563387128,18,14.97,8.88,311.764,1.65
140,Port-Gentil,20,GA,1563387633,88,-0.72,8.78,298.15,3.6
141,Port Hardy,90,CA,1563387634,77,50.7,-127.42,290.15,4.1
142,Chifeng,0,CN,1563387634,84,42.27,118.96,290.264,2.52
143,Bonthe,100,SL,1563387635,76,7.53,-12.5,298.764,4.24
144,Ylivieska,66,FI,1563387635,77,64.07,24.53,288.15,2.29
145,Lupeni,4,RO,1563387636,86,45.35,23.21,287.264,1.45
146,Lipetsk,20,RU,1563387636,82,52.6,39.59,291.15,1.0
147,Orsk,40,RU,1563387637,28,51.23,58.47,301.15,2.0
148,Hasaki,75,JP,1563387637,100,35.73,140.83,294.26,1.5
149,Baker City,1,US,1563387436,38,44.77,-117.83,298.71,1.5
150,Jutai,13,BR,1563387638,77,-1.71,-47.89,302.564,2.02
151,Sehithwa,0,BW,1563387639,26,-20.47,22.7,289.664,2.43
152,Pailon,40,BO,1563387639,57,-17.66,-62.72,297.15,2.6
153,Shimoda,86,JP,1563387093,94,34.7,138.93,296.48,0.89
154,Cabo San Lucas,40,MX,1563387384,55,22.89,-109.91,305.15,5.1
155,Saurimo,0,AO,1563387645,26,-9.66,20.4,294.464,2.2
156,Katsuura,75,JP,1563387646,100,33.93,134.5,297.15,5.1
157,Kayerkan,0,RU,1563387647,69,69.35,87.76,288.164,2.6
158,Bilibino,100,RU,1563387648,96,68.06,166.44,276.764,1.17
159,Saint George,20,GR,1563387648,53,39.45,22.34,298.15,0.74
160,Airai,67,TL,1563387653,64,-8.93,125.41,293.164,2.53
161,Upernavik,22,GL,1563387655,92,72.79,-56.15,280.264,4.91
162,Faya,75,SA,1563387655,53,18.39,42.45,295.15,5.1
163,Cockburn Town,26,TC,1563387656,76,21.46,-71.14,301.064,6.38
164,Souillac,0,FR,1563387657,39,45.6,-0.6,299.82,7.7
165,Homer,1,US,1563387657,87,59.64,-151.54,291.48,1.5
166,Olkhovatka,47,RU,1563387658,87,50.28,39.3,290.464,2.96
167,Brikama,89,GM,1563387658,84,13.27,-16.65,299.164,7.61
168,Marapanim,14,BR,1563387659,73,-0.71,-47.7,301.364,6.74
169,Luderitz,0,NA,1563387659,72,-26.65,15.16,288.15,2.6
170,Khatanga,36,RU,1563387659,72,71.98,102.47,284.064,1.82
171,Szarvas,0,HU,1563387660,36,46.86,20.55,298.15,2.1
172,Keuruu,0,FI,1563387141,72,62.26,24.71,290.93,2.1
173,Cap Malheureux,40,MU,1563387661,68,-19.98,57.61,295.15,8.2
174,Tezu,0,IN,1563387661,71,27.93,96.16,297.664,1.58
175,Sri Aman,97,MY,1563387662,88,1.24,111.46,297.15,1.03
176,Cordoba,0,AR,1563387663,4,-27.78,-67.24,297.264,1.87
177,Port Elizabeth,20,US,1563387664,56,39.31,-74.98,310.37,3.6
178,Tiksi,100,RU,1563387665,88,71.64,128.87,274.264,6.71
179,Kruisfontein,66,ZA,1563387666,59,-34.0,24.73,284.964,1.39
180,Tim,40,RU,1563387666,100,51.62,37.12,290.15,2.0
181,Meulaboh,81,ID,1563387139,76,4.14,96.13,300.964,3.18
182,Carroll,90,AU,1563387689,93,-30.99,150.44,278.15,2.1
183,Coahuayana,36,MX,1563387689,67,18.62,-100.35,302.864,1.15
184,Isangel,12,VU,1563387690,63,-19.55,169.27,294.264,5.01
185,Kamaishi,57,JP,1563387693,99,39.28,141.86,288.364,0.66
186,Port-Cartier,75,CA,1563387694,77,50.03,-66.88,293.15,3.6
187,Klaksvik,100,FO,1563387695,100,62.23,-6.59,284.15,9.3
188,Dingle,100,PH,1563387696,87,11.0,122.67,297.264,4.24
189,Broome,0,GB,1563387696,53,52.47,1.45,298.15,5.7
190,Sept-Iles,75,CA,1563387701,77,50.2,-66.38,293.15,3.6
191,Lompoc,90,US,1563387701,82,34.64,-120.46,296.48,4.1
192,Sao Joao da Barra,20,BR,1563387632,50,-21.64,-41.05,297.15,7.7
193,Qandala,0,SO,1563387703,48,11.47,49.87,305.664,9.99
194,Porto Novo,40,BR,1563387703,55,-23.68,-45.44,292.15,3.1
195,Los Llanos de Aridane,75,ES,1563387704,73,28.66,-17.92,296.15,7.7
196,Leshukonskoye,59,RU,1563387704,63,64.9,45.76,287.164,1.86
197,Auki,74,NG,1563387705,57,12.18,6.51,302.764,4.34
198,Impfondo,76,CD,1563387706,72,1.62,18.06,299.464,0.81
199,Angoche,13,MZ,1563387707,83,-16.23,39.91,293.664,1.55
200,Kodiak,75,US,1563387708,74,39.95,-94.76,304.82,4.6
201,Ponta do Sol,6,BR,1563387709,34,-20.63,-46.0,295.764,2.03
202,Nan,53,TH,1563387709,95,18.78,100.78,295.864,0.49
203,Manggar,100,ID,1563387710,91,-2.88,108.27,296.964,1.58
204,Kalmunai,86,LK,1563387711,75,7.42,81.82,299.664,1.54
205,Longyearbyen,75,NO,1563387714,75,78.22,15.63,280.15,2.1
206,Narsaq,75,GL,1563387715,67,60.91,-46.05,287.15,3.1
207,Whitehorse,75,CA,1563387464,58,60.72,-135.06,290.93,2.6
208,Freeport,20,BS,1563387425,59,26.54,-78.7,305.15,4.6
209,Esperance,0,AU,1563387716,62,-33.86,121.89,284.15,6.7
210,Buala,29,SB,1563387717,83,-8.15,159.59,298.664,2.43
211,Faanui,0,PF,1563387718,71,-16.48,-151.75,297.464,8.25
212,Takhtamygda,17,RU,1563387718,85,54.1,123.57,285.464,1.64
213,Nantucket,90,US,1563387719,94,41.28,-70.1,302.15,4.1
214,Poum,20,MK,1563387720,59,41.28,20.71,291.15,1.5
215,Mackenzie,90,CA,1563387721,87,55.34,-123.09,286.15,3.1
216,Alyangula,89,AU,1563387722,93,-13.85,136.42,287.15,5.17
217,Talnakh,0,RU,1563387722,65,69.49,88.39,287.564,1.99
218,Zakamensk,85,RU,1563387723,92,50.38,103.29,286.464,1.26
219,Verkhovye,100,RU,1563387724,89,52.81,37.24,288.864,0.56
220,Provideniya,90,RU,1563387725,74,64.42,-173.23,287.564,0.99
221,Nyurba,14,RU,1563387725,73,63.29,118.35,284.164,3.31
222,Fenoarivo,20,MG,1563387726,87,-18.93,47.44,284.15,3.6
223,Port Keats,82,AU,1563387726,31,-14.25,129.55,292.664,5.56
224,San Jose,90,HN,1563387727,55,14.25,-87.96,303.15,6.2
225,Zaoyang,99,CN,1563387728,94,32.12,112.76,296.764,3.82
226,Avarua,0,CK,1563387728,73,-21.21,-159.78,295.15,6.7
227,Parrita,40,CR,1563387729,57,9.52,-84.33,300.15,6.7
228,Road Town,40,VG,1563387730,58,18.42,-64.62,304.15,4.6
229,Quatre Cocos,40,MU,1563387730,68,-20.21,57.76,295.15,8.2
230,Kahului,20,US,1563387731,65,20.89,-156.47,301.15,5.7
231,Prijepolje,0,RS,1563387732,63,43.39,19.65,291.15,1.5
232,Nurota,0,UZ,1563387733,14,40.56,65.69,306.15,4.1
233,Jieznas,75,LT,1563387757,87,54.6,24.18,288.71,2.1
234,Warmbad,20,DE,1563387758,63,50.67,13.08,294.82,3.1
235,Caravelas,100,BR,1563387758,73,-17.73,-39.27,295.364,8.97
236,Westport,1,US,1563387759,59,41.14,-73.36,307.04,3.6
237,Namatanai,43,PG,1563387760,84,-3.66,152.44,298.764,2.86
238,Tilichiki,97,RU,1563387761,94,60.47,166.1,285.364,1.2
239,Vanimo,2,PG,1563387762,79,-2.67,141.3,300.964,3.55
240,Camacha,20,PT,1563387763,60,33.08,-16.33,296.15,7.7
241,Teguise,20,ES,1563387764,61,29.06,-13.56,298.15,10.3
242,Tasiilaq,75,GL,1563387765,66,65.61,-37.64,284.15,5.1
243,Mareeba,37,AU,1563387766,77,-16.99,145.42,288.15,5.7
244,Bustehrad,0,CZ,1563387766,46,50.16,14.19,295.15,2.6
245,Kudahuvadhoo,100,MV,1563387767,78,2.67,72.89,300.564,6.61
246,Diamantino,14,BR,1563387767,27,-14.4,-56.44,306.764,2.24
247,Benjamin Constant,75,BR,1563387768,62,-4.38,-70.03,303.15,2.1
248,Pombas,31,BR,1563387768,28,-15.9,-54.74,306.264,0.87
249,Tura,15,RU,1563387772,73,64.27,100.22,287.064,6.46
250,Channel-Port aux Basques,95,CA,1563387773,79,47.57,-59.14,288.164,6.61
251,Makakilo City,20,US,1563387622,65,21.35,-158.09,301.48,7.2
252,Kallidaikurichchi,75,IN,1563387774,94,8.68,77.46,298.15,3.6
253,Kiama,14,AU,1563387777,58,-34.67,150.86,285.93,6.7
254,Ayagoz,14,KZ,1563387673,26,47.96,80.43,295.864,2.34
255,Muncar,65,ID,1563387780,97,-8.43,114.34,293.764,0.85
256,Kortkeros,0,RU,1563387781,51,61.81,51.56,290.15,2.0
257,Coos Bay,20,US,1563387782,60,43.37,-124.22,297.59,2.6
258,Gaziantep,0,TR,1563387782,39,37.06,37.38,304.15,2.1
259,Orje,0,NO,1563387782,72,59.48,11.66,293.71,6.2
260,Half Moon Bay,20,US,1563387792,64,37.46,-122.43,297.59,2.6
261,Aguimes,20,ES,1563387793,61,27.91,-15.45,298.15,14.4
262,Klichka,42,RU,1563387793,64,50.44,118.0,290.064,1.71
263,Mehamn,75,NO,1563387794,87,71.03,27.85,280.15,7.7
264,Sarany,0,RU,1563387795,90,58.55,58.76,284.764,1.61
265,Laguna,75,BZ,1563387795,74,16.17,-88.94,304.15,3.1
266,Governador Valadares,100,BR,1563387796,67,-18.85,-41.95,293.264,0.77
267,Avera,1,US,1563387698,35,33.19,-82.53,310.15,3.1
268,Nyuksenitsa,79,RU,1563387797,78,60.41,44.24,288.664,2.54
269,Oranjemund,0,ZA,1563387797,81,-28.55,16.43,285.964,1.06
270,Nabire,95,ID,1563387798,99,-3.36,135.5,293.764,1.37
271,Langenburg,100,CA,1563387798,84,50.84,-101.7,293.064,3.32
272,Kavadarci,0,MK,1563387799,33,41.43,22.01,298.15,4.6
273,Tartagal,22,AR,1563387713,57,-22.52,-63.8,297.15,1.5
